,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
85,p,n,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
86,p,n,p,n,p,p,p,n,p,n,n,n,p,p,n,n,n,p,p,p,p,p,p,n,n,p,p,p,p,p
87,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p
88,p,p,p,n,n,n,p,p,p,n,p,n,p,n,n,p,n,p,p,p,p,n,n,n,p,n,p,n,p,p
89,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,n,n,p,p,n,p
90,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p
91,p,p,n,p,p,p,p,p,n,p,p,p,n,n,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p
92,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,n,p,p,p,n,p,p,p,n
93,p,n,p,n,n,p,p,p,p,n,p,n,p,n,p,p,p,p,p,p,p,n,n,p,p,p,n,p,p,p
94,p,p,n,n,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p
95,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
96,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,n,p,p,n,n,p,p,n,p,p,n,n,p,n,n
97,n,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p
98,n,n,n,p,n,n,p,n,n,p,n,p,p,p,p,n,p,p,n,n,p,p,p,n,n,n,n,n,p,n
99,p,p,p,n,p,p,p,n,p,p,n,p,p,n,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p
100,p,p,n,p,p,p,p,p,p,p,n,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
101,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
102,p,p,n,n,p,n,p,p,p,p,p,p,n,p,n,p,p,p,p,n,p,n,p,p,p,p,n,n,p,p
103,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n
104,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,n,p,p,p,n,p
105,p,n,p,p,n,n,p,n,p,n,p,n,p,n,p,p,n,p,n,n,n,p,n,p,p,n,p,n,n,p
106,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,n,p,p,p,p
107,p,p,p,p,p,p,n,p,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p
108,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,n
109,p,p,p,p,p,p,p,p,p,n,p,p,n,n,n,p,p,n,p,p,n,p,n,p,p,p,p,p,p,p
110,n,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p
111,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p
112,p,p,p,n,n,p,p,p,p,n,p,p,p,p,p,p,p,n,n,n,n,p,p,p,p,p,p,n,n,n
113,p,p,n,p,p,p,n,p,p,p,n,p,n,p,p,n,n,p,p,p,n,p,n,p,n,p,p,n,n,p
114,n,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
115,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,n,p,p,p,n,p,p,p
116,p,p,n,p,p,p,n,p,n,p,n,p,p,p,p,n,n,p,p,p,p,p,p,p,n,p,p,p,p,p
117,p,n,p,n,n,p,p,p,n,p,p,n,n,p,p,p,n,p,p,p,n,p,p,n,p,n,n,p,p,p
118,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p
119,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p
120,p,p,p,p,p,p,p,p,p,p,n,p,n,p,p,p,p,p,n,p,n,p,p,p,p,p,p,p,p,p
121,p,p,p,n,p,p,n,p,p,p,n,p,p,p,p,n,n,p,n,p,n,p,p,p,n,p,p,p,p,p
122,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p
123,p,n,p,p,n,p,n,n,p,n,p,p,n,n,n,p,p,n,p,p,n,p,p,p,n,p,p,p,n,n
124,n,p,p,p,n,p,p,n,n,n,p,n,n,n,n,p,n,p,p,n,p,p,n,p,n,n,n,n,n,p
125,p,n,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
126,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,n,p,n,p,p
127,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
128,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,n,p,p,p,p,p,p,p
129,p,p,n,p,n,p,p,p,p,n,p,p,n,p,n,n,n,p,p,p,p,p,n,n,p,p,n,n,n,p
130,n,p,n,p,p,p,n,p,p,n,n,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,n,n,p,p
131,p,p,p,p,n,p,p,n,n,p,n,p,p,p,p,p,n,p,p,n,n,n,p,p,p,n,p,n,n,p
132,p,p,p,n,n,p,p,p,p,n,p,p,n,p,n,p,n,n,p,p,n,p,p,p,n,p,n,p,n,p
133,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p
134,n,p,p,p,p,n,p,p,p,p,p,p,n,p,n,p,n,n,n,p,n,n,n,p,p,p,p,p,p,n
135,n,n,n,p,p,p,n,p,n,n,p,n,n,n,p,p,p,n,n,p,n,p,n,p,n,p,n,n,p,p
136,p,n,n,p,p,n,n,n,n,p,p,p,n,p,p,p,n,p,p,n,p,p,p,p,p,p,p,n,n,p
137,p,p,p,p,p,p,n,p,n,p,p,p,n,p,n,p,p,p,p,p,p,p,n,n,p,n,p,n,p,n
138,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p
139,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p
140,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,n,p,p,p
141,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,n,n,n,p,p,n,p,p,p,n,n,p,p,n
142,n,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,n,p,p,p,p,p,p,p,p,p,p
143,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,n,p
144,n,n,n,n,p,p,n,p,p,n,n,n,p,n,n,p,p,n,p,p,n,n,n,p,n,n,n,n,p,n
145,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p
146,n,p,p,p,p,p,n,p,n,p,n,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n
147,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,n,p
148,n,p,p,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,p,p
149,p,p,p,p,p,p,n,n,p,p,p,p,p,n,p,p,p,n,p,p,p,p,p,n,p,p,p,p,p,p
150,p,p,p,p,p,n,p,p,p,n,p,n,p,p,p,n,p,p,p,p,p,p,p,p,p,p,p,p,p,p
151,p,p,n,p,p,n,p,p,p,p,p,n,p,n,p,p,p,p,p,n,n,n,p,p,p,n,p,p,p,p
152,p,n,p,n,p,p,p,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,n,n,p,n
153,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,n,p,p,p,p,p,p,n,n,p
154,p,p,p,p,p,n,p,n,p,p,p,n,p,p,p,p,p,p,n,n,p,p,p,p,p,p,p,p,p,p
155,p,p,p,p,p,p,p,p,p,p,p,p,n,n,n,p,p,p,p,p,p,p,p,n,p,p,p,p,n,p
