,0_uncalibrated,0_calibrated
262,-0.42992650123077253,-0.4087041992180062
263,-0.477020430953921,-0.4450890151940729
264,-0.49528149185516956,-0.4632046189890786
265,-0.5112107064505121,-0.46915966205572385
266,-0.4543065895147432,-0.4263008500752052
267,-0.5468210617741317,-0.4918514206821506
268,-0.5021958764463924,-0.4593538073296955
269,-0.5949818907534038,-0.5213869863377819
270,-0.5131419031282299,-0.46538983391438477
271,-0.4701553277726181,-0.4404050669066642
272,-0.5133011552406589,-0.47014630551225584
273,-0.5511423144690384,-0.4957864694878523
274,-0.4426108113759825,-0.4185159694173133
275,-0.488155572028161,-0.4546494520833455
276,-0.45937112232007543,-0.4318044831751004
277,-0.45755902775356116,-0.43149696139463933
278,-0.5699149830229997,-0.5087871225435021
279,-0.5025997371259991,-0.46049281200506914
280,-0.48097088044527153,-0.44682580147528667
281,-0.4805452992418188,-0.44989933878722455
282,-0.5636877370518266,-0.5005877345328675
283,-0.45175838439879185,-0.4270670232551055
284,-0.5649788868532493,-0.5093587138986445
285,-0.4688828744017696,-0.4400180555817591
286,-0.4804859784522294,-0.4423816544539307
287,-0.44990659796510013,-0.4260597197406447
288,-0.4816132187747135,-0.4459516966711642
289,-0.5494453507221122,-0.4959900818490648
290,-0.5224678084082593,-0.4855137781692741
291,-0.49267143420413223,-0.45464654320910713
292,-0.5699350492508672,-0.5040906643480831
293,-0.44652288316720185,-0.42131595152208806
294,-0.4603181178886519,-0.4297215500209234
295,-0.4940175836193953,-0.4577718174904431
296,-0.4938115598480135,-0.4539615882755315
297,-0.48658391307733684,-0.4490992346756552
298,-0.524219048102995,-0.48023976583825645
299,-0.5078713143459713,-0.4604664168461424
300,-0.44090253628118437,-0.4211349535266679
301,-0.47314381394727445,-0.4421698134973425
302,-0.506585702451027,-0.47021085493552217
303,-0.4436035548290219,-0.41805322971933034
304,-0.46147994850557045,-0.42819705956729576
305,-0.5026979427197523,-0.4602571511664188
306,-0.46660559380424216,-0.43455631721254645
307,-0.5300506962612941,-0.48556449848326905
308,-0.4793366981553537,-0.4490897762959319
309,-0.5031035376668722,-0.46577340724067434
310,-0.480126394365134,-0.4441516773833116
311,-0.4628855239251844,-0.43479260317005647
312,-0.46339172186395816,-0.43567077475891
313,-0.5453328757126362,-0.49182539858975954
314,-0.4600371304971478,-0.4344422722597737
315,-0.4978989641232245,-0.4549579124432355
316,-0.5232930836846869,-0.4734691803383811
317,-0.4774695739595264,-0.4424812327432113
318,-0.4458719317043646,-0.42394083666947313
319,-0.521741265984957,-0.47448405639029345
320,-0.5157912038339363,-0.4689580073128614
321,-0.4817345813767578,-0.450790412065965
322,-0.4956306763454074,-0.4578726801130363
323,-0.4687438885134816,-0.437654097585117
324,-0.537783443297973,-0.4877272833052234
325,-0.4640006093489624,-0.43428404457850406
326,-0.5015169072024843,-0.4612742967660375
327,-0.4632330802055647,-0.43102444543466756
328,-0.526353861030233,-0.4714180153310348
329,-0.4463270372059904,-0.4243366533375982
330,-0.4935571620256481,-0.4563516747829611
331,-0.5629449378917959,-0.5028786998390214
332,-0.48637176572143587,-0.44708687426250676
333,-0.587159222266466,-0.5233728936705437
334,-0.5476226204855507,-0.4989269270584775
335,-0.5243256613784428,-0.4715748144116728
336,-0.5755906659166559,-0.5119903389933965
337,-0.4947809942266781,-0.45693045495335055
338,-0.5114517895902579,-0.46401874562525525
339,-0.47778299964013154,-0.44479529433605136
340,-0.5233872503781821,-0.4750762434562891
341,-0.49354580300217127,-0.4550452812791198
342,-0.48898406272265615,-0.4511185529771322
343,-0.4917008868821823,-0.453755127099341
344,-0.4904814884281157,-0.45513041223949596
345,-0.4874888679162484,-0.45328655953984864
346,-0.4466436993166988,-0.42344407871552375
347,-0.5587749122496596,-0.5034548914093572
348,-0.5084035980670748,-0.4642411792830293
349,-0.45164879349550885,-0.42714159879041486
350,-0.49969507520246903,-0.4580505967494363
351,-0.45910269355989314,-0.4318891852096297
352,-0.479494521779739,-0.4481615971449085
353,-0.43388702551880254,-0.41630339691528706
354,-0.45827313168703515,-0.43281735658603127
355,-0.4965856148748093,-0.45614136645144754
356,-0.44629186787363334,-0.4213945051446271
357,-0.5222956684606301,-0.47190971486079775
358,-0.45142049641469073,-0.4248634048340432
359,-0.5791794998404294,-0.5160805171623652
360,-0.5561422213888856,-0.500678903546902
361,-0.48977286903293044,-0.4546916660689839
362,-0.43163934055454245,-0.4117276117449137
363,-0.5661529252067566,-0.5049005965784601
364,-0.4535398028468704,-0.4311260826128551
365,-0.4800478804516338,-0.444646509462296
366,-0.5502985315212549,-0.4937303272555749
367,-0.5070134843931816,-0.466365970840172
368,-0.48149521010030155,-0.44634116838849963
369,-0.4063860215832783,-0.3963480813433229
370,-0.49536415188960703,-0.4593857362867955
371,-0.4902513728362406,-0.45265794424731975
372,-0.4428775012045172,-0.4163751870512532
373,-0.4886590008659266,-0.44675745299954006
374,-0.5434204424178182,-0.4889729266337824
375,-0.47531260167176026,-0.4436516450816412
