,0_uncalibrated,0_calibrated
70,-0.4520086586436355,-0.4207933972808189
71,-0.5832446456597857,-0.5154594455145816
72,-0.615724060603906,-0.533386859705606
73,-0.5417683873644622,-0.48743889901479254
74,-0.7002362938348063,-0.597111982797303
75,-0.4927476489116024,-0.45286914084382857
76,-0.45875713335585694,-0.4289069865072902
77,-0.5086363448336275,-0.4629799179276566
78,-0.5706694096026081,-0.5041929701172619
79,-0.6063996278203647,-0.5275508179288101
80,-0.7150770597839975,-0.6065465187727188
81,-0.4315135606145594,-0.40573620469764893
82,-0.5990378587640107,-0.5235277380275727
83,-0.46735143210170327,-0.4348357399530607
84,-0.44922609883934345,-0.4252286259561398
85,-0.4415402149897651,-0.42265110081501633
86,-0.4371579606533652,-0.4189534768950554
87,-0.6273266277786902,-0.5476714291874405
88,-0.5723947518653468,-0.5036768008127813
89,-0.44385754897611507,-0.4157077630371028
90,-0.6217918009773467,-0.5452229425940707
91,-0.5910454417590232,-0.5183670431601763
92,-0.5158432684419113,-0.46862190814548665
93,-0.5424226341529269,-0.48795030252486
94,-0.6272302302748812,-0.5386730511932231
95,-0.6749640996674992,-0.5752712895494163
96,-0.5639026653194426,-0.5008273523668314
97,-0.5419209017376071,-0.48521330242066685
98,-0.4577058652223703,-0.4309264638259316
99,-0.4495400720226703,-0.42219911358892376
100,-0.6703642123469741,-0.5770180353085302
101,-0.6670473952099898,-0.5708228855606873
102,-0.5124157156833854,-0.4697343189976501
103,-0.4909979976461908,-0.44868222019048587
104,-0.5404193585613837,-0.48346082667158197
105,-0.7994373587681488,-0.6650889078027988
106,-0.691981958687288,-0.5853819165976091
107,-0.6081795476797719,-0.5342180878348258
108,-0.5589770583878119,-0.49931518581895534
109,-0.6364496112557327,-0.5529948353674267
110,-0.6539218678076643,-0.5641017587541304
111,-0.4350418422801941,-0.41154667238908077
112,-0.48230360504978054,-0.4458179362992639
113,-0.47114881668624325,-0.4410506223069189
114,-0.6540622204055632,-0.562799926509653
115,-0.5173516209515162,-0.4704399344670135
116,-0.5999841145459894,-0.528933047453598
117,-0.6398425231310949,-0.5543394700114027
118,-0.6031142678970597,-0.5293270808164225
119,-0.5045400882392366,-0.4594366128935028
120,-0.4431466329894181,-0.4227930755078286
121,-0.5724576942978745,-0.5088280317065378
122,-0.5473800665567096,-0.48904572899812837
123,-0.47184068861554007,-0.4353626315010088
124,-0.5049934703701545,-0.45985485173135077
125,-0.7087894346497403,-0.6020858532991714
126,-0.49527636371078904,-0.4583704626289257
